sort,study,ref,source,species,taxon,thermy,growth,climate_pop,climate_sp,breeding,dispersal,migration,mating,parenting,SSD,ageclass,trait,unit,direction,category,background,Mean_M,SD_M,M_n,Mean_F,SD_F,F_n,behavioural categories,Dependency temporal level,Dependency individual level,Dependency behaviour,notes,include_1,reason for exclusion,include_2
318,A12,"Angelier, F; Bost, CA; Giraudeau, M; Bouteloup, G; Dano, S; Chastel, O",10.1016/j.ygcen.2007.12.001,Pygoscelis adeliae,bird,,,,,iteroparous,,,social monogamy,both,,,time at seas,h,high values = fast,behavior,wild,53.78,31.35,9,57.21,20.61,9,foraging,0,1,1, ,0,", not a POLS trait",0
319,A12,"Angelier, F; Bost, CA; Giraudeau, M; Bouteloup, G; Dano, S; Chastel, O",10.1016/j.ygcen.2007.12.001,Pygoscelis adeliae,bird,,,,,iteroparous,,,social monogamy,both,,,maximal forage range ,km,high values = fast,behavior,wild,65.2,36.80567891,5,94.72,12.88,4,foraging,0,1,1, ,0,", not a POLS trait",0
320,A12,"Angelier, F; Bost, CA; Giraudeau, M; Bouteloup, G; Dano, S; Chastel, O",10.1016/j.ygcen.2007.12.001,Pygoscelis adeliae,bird,,,,,iteroparous,,,social monogamy,both,,,daily distance traveled,km/day,high values = fast,behavior,wild,3.24,1.00623059,5,3.75,0.8,4,foraging,0,1,1, ,0,", not a POLS trait",0
321,A12,"Angelier, F; Bost, CA; Giraudeau, M; Bouteloup, G; Dano, S; Chastel, O",10.1016/j.ygcen.2007.12.001,Pygoscelis adeliae,bird,,,,,iteroparous,,,social monogamy,both,,,Index of foraging effort,,high values = fast,behavior,wild,0.18,1.08,4,-0.15,1.118033989,5,foraging,0,1,1, ,0,", not a POLS trait",0
322,A15,"Angelier, F; Holberton, RL; Marra, PP",10.1098/rspb.2009.0868,Setophaga ruticilla,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,, ,0,"only model output, ",0
323,A16,"Angelier, F; Moe, B; Blanc, S; Chastel, O",10.1086/603634,Pagodroma nivea,bird,,,,,iteroparous,,,social monogamy,Both,,,corticosterone baseline incubatin bird,ng/ml,high values = slow,physiology,wild,5,1.57,24,4.67,3.94,24,NA,1,1,NA, ,1,,1
324,A16,"Angelier, F; Moe, B; Blanc, S; Chastel, O",10.1086/603634,Pagodroma nivea,bird,,,,,iteroparous,,,social monogamy,both,,,corticosterone baseline failed breeder,ng/ml,high values = slow,physiology,wild,3.67,1.34,8,2.67,3.12,8,NA,2,2,NA, ,1,,1
325,A16,"Angelier, F; Moe, B; Blanc, S; Chastel, O",10.1086/603634,Pagodroma nivea,bird,,,,,iteroparous,,,social monogamy,both,,,corticosterone stress incubating bird,ng/ml,high values = slow,physiology,wild,57.2,9.9,24,46.7,27.58,24,NA,1,1,NA, ,1,,0
326,A16,"Angelier, F; Moe, B; Blanc, S; Chastel, O",10.1086/603634,Pagodroma nivea,bird,,,,,iteroparous,,,social monogamy,both,,,corticosterone stress failed breeder,ng/ml,high values = slow,physiology,wild,49,21.44,8,57.5,21.9,8,NA,2,2,NA, ,1,,0
327,A16,"Angelier, F; Moe, B; Blanc, S; Chastel, O",10.1086/603634,Pagodroma nivea,bird,,,,,iteroparous,,,social monogamy,both,,,prolactin baseline incubating bird,ng/ml,high values = slow,physiology,wild,83.67,25.21,24,100.67,17.33,24,NA,3,1,NA, ,1,,1
328,A16,"Angelier, F; Moe, B; Blanc, S; Chastel, O",10.1086/603634,Pagodroma nivea,bird,,,,,iteroparous,,,social monogamy,both,,,prolactin baseline failed breeder,ng/ml,high values = slow,physiology,wild,61.67,22.33,8,70,21.44,8,NA,4,2,NA, ,1,,1
329,A16,"Angelier, F; Moe, B; Blanc, S; Chastel, O",10.1086/603634,Pagodroma nivea,bird,,,,,iteroparous,,,social monogamy,both,,,prolactin stress incubating bird,ng/ml,high values = slow,physiology,wild,64.33,10.24,24,75.67,11.82,24,NA,3,1,NA, ,1,,0
330,A16,"Angelier, F; Moe, B; Blanc, S; Chastel, O",10.1086/603634,Pagodroma nivea,bird,,,,,iteroparous,,,social monogamy,both,,,prolactin stress failed breeder,ng/ml,high values = slow,physiology,wild,47.33,8.04,8,57.33,10.72,8,NA,4,2,NA, ,1,,0
331,A17,"Angelier, F; Moe, B; Weimerskirch, H; Chastel, O",10.1111/j.1365-2656.2007.01295.x,Pagodroma nivea,bird,,,,,iteroparous,,,social monogamy,both,,,baseline corticosterone,ng/ml,high values = slow,physiology,wild,5,2.4,24,5,2.4,24,NA,1,1,NA,Fig 3 ,1,,1
332,A17,"Angelier, F; Moe, B; Weimerskirch, H; Chastel, O",10.1111/j.1365-2656.2007.01295.x,Pagodroma nivea,bird,,,,,iteroparous,,,social monogamy,both,,,stress corticosterone,ng/ml,high values = slow,physiology,wild,56,48,24,48,72,24,NA,1,1,NA,Fig 3 ,1,,0
