sort,study,ref,source,species,taxon,thermy,growth,climate_pop,climate_sp,breeding,dispersal,migration,mating,parenting,SSD,ageclass,trait,unit,direction,category,background,Mean_M,SD_M,M_n,Mean_F,SD_F,F_n,behavioural categories,Dependency temporal level,Dependency individual level,Dependency behaviour,notes,include_1,reason for exclusion,include_2
98,M115,StŒlhammar and Philipsson 1997 ,,Bos taurus,mammal,endotherm,determinate,artificial,artificial,iteroparous,unknown,No,polygyny,Female,males larger,mixed,Post-weaning weight gain Charolais,kg,high values = fast,development,domestic,198,51,6145,135,40,10181,NA,2,2,NA, ,1,,1
99,M189,Forstmeier et al. 2009,,Taeniopygia guttata,bird,endotherm,determinate,artificial,Arid,iteroparous,no sex bias,No,social monogamy,both,No difference,adults,Call duration,ms,high values = fast,behavior,lab,205,50,189,292,40,190,?,0,1,1,"how does this behavior work on the POLS-scale?, ",0,", not a POLS trait",0
100,M71,Merks 1986 ,,Sus scrofa domestica,mammal,endotherm,determinate,artificial,global,iteroparous,male biased,No,polygyny,Female,males larger,mixed,Daily gain on test NL,g,high values = fast,development,domestic,800,50,1817,753,44,3635,NA,0,0,NA, ,1,,1
101,M169,Hallsson and Bj_rklund 2012,,Callosobruchus maculatus,arthropod,ectotherm,determinate,artificial,global,semelparous,male biased,No,polygyny,none,females larger,adults,Development time - white - 36 degrees,days,high values = slow,development,lab,23.923,48.45147024,1728,24.095,45.71553693,1729,NA,0,0,NA,"fullsib split design so each treatment and replicate contains fullsibs, so there is dependence on two levels, but still different inds so count as independent ",1,,1
102,M115,StŒlhammar and Philipsson 1997 ,,Bos taurus,mammal,endotherm,determinate,artificial,artificial,iteroparous,unknown,No,polygyny,Female,males larger,mixed,Post-weaning weight gain Hereford,kg,high values = fast,development,domestic,157,47,4915,109,34,7536,NA,3,3,NA, ,1,,1
103,M115,StŒlhammar and Philipsson 1997 ,,Bos taurus,mammal,endotherm,determinate,artificial,artificial,iteroparous,unknown,No,polygyny,Female,males larger,mixed,Weight gain from birth to weaning Simmental,kg,high values = fast,development,domestic,249,46,5077,217,40,5208,NA,1,1,NA, ,1,,1
104,M169,Hallsson and Bj_rklund 2012,,Callosobruchus maculatus,arthropod,ectotherm,determinate,artificial,global,semelparous,male biased,No,polygyny,none,females larger,adults,Development time - white - 30 degrees,days,high values = slow,development,lab,25.259,45.24894365,1728,25.345,43.88097699,1729,NA,0,0,NA,"fullsib split design so each treatment and replicate contains fullsibs, so there is dependence on two levels, but still different inds so count as independent ",1,,1
105,M115,StŒlhammar and Philipsson 1997 ,,Bos taurus,mammal,endotherm,determinate,artificial,artificial,iteroparous,unknown,No,polygyny,Female,males larger,mixed,Post-weaning weight gain Aberdeen Angus,kg,high values = fast,development,domestic,143,44,739,106,29,840,NA,4,4,NA, ,1,,1
106,M115,StŒlhammar and Philipsson 1997 ,,Bos taurus,mammal,endotherm,determinate,artificial,artificial,iteroparous,unknown,No,polygyny,Female,males larger,mixed,Weight gain from birth to weaning Charolais,kg,high values = fast,development,domestic,230,44,12624,205,37,15323,NA,2,2,NA, ,1,,1
107,M115,StŒlhammar and Philipsson 1997 ,,Bos taurus,mammal,endotherm,determinate,artificial,artificial,iteroparous,unknown,No,polygyny,Female,males larger,mixed,Post-weaning weight gain Limousin,kg,high values = fast,development,domestic,189,42,1068,128,33,1616,NA,5,5,NA, ,1,,1
108,M45,Havill et al. 2004,,Papio hamadryas,mammal,endotherm,determinate,unknown,Arid,iteroparous,no sex bias,No,polygyny,female,males larger,mixed,Serum bone-specific alkaline phosphatase,U/L,high values = fast,physiology,semiwild,52.2,38.74,213,41.52,19.3,444,NA,0,0,NA, ,1,,1
109,M115,StŒlhammar and Philipsson 1997 ,,Bos taurus,mammal,endotherm,determinate,artificial,artificial,iteroparous,unknown,No,polygyny,Female,males larger,mixed,Weight gain from birth to weaning Hereford,kg,high values = fast,development,domestic,194,38,9492,175,32,11202,NA,3,3,NA, ,1,,1
110,M115,StŒlhammar and Philipsson 1997 ,,Bos taurus,mammal,endotherm,determinate,artificial,artificial,iteroparous,unknown,No,polygyny,Female,males larger,mixed,Weight gain from birth to weaning Limousin,kg,high values = fast,development,domestic,213,38,2353,192,33,2659,NA,5,5,NA, ,1,,1
111,M115,StŒlhammar and Philipsson 1997 ,,Bos taurus,mammal,endotherm,determinate,artificial,artificial,iteroparous,unknown,No,polygyny,Female,males larger,mixed,Weight gain from birth to weaning Aberdeen Angus,kg,high values = fast,development,domestic,185,36,1625,165,30,1643,NA,4,4,NA, ,1,,1
112,M169,Hallsson and Bj_rklund 2012,,Callosobruchus maculatus,arthropod,ectotherm,determinate,artificial,global,semelparous,male biased,No,polygyny,none,females larger,adults,Development time - red - 36 degrees,days,high values = slow,development,lab,24.871,32.90543055,1728,25.044,31.081475,1729,NA,0,0,NA,"fullsib split design so each treatment and replicate contains fullsibs, so there is dependence on two levels, but still different inds so count as independent ",1,,1
113,M169,Hallsson and Bj_rklund 2012,,Callosobruchus maculatus,arthropod,ectotherm,determinate,artificial,global,semelparous,male biased,No,polygyny,none,females larger,adults,Development time - trend - 36 degrees,days,high values = slow,development,lab,25.388,31.53746389,1728,25.087,31.99345277,1729,NA,0,0,NA,"fullsib split design so each treatment and replicate contains fullsibs, so there is dependence on two levels, but still different inds so count as independent ",1,,1
114,M169,Hallsson and Bj_rklund 2012,,Callosobruchus maculatus,arthropod,ectotherm,determinate,artificial,global,semelparous,male biased,No,polygyny,none,females larger,adults,Development time - red - 30 degrees,days,high values = slow,development,lab,25.518,27.87894841,1728,25.69,25.14301509,1729,NA,0,0,NA,"fullsib split design so each treatment and replicate contains fullsibs, so there is dependence on two levels, but still different inds so count as independent ",1,,1
115,M169,Hallsson and Bj_rklund 2012,,Callosobruchus maculatus,arthropod,ectotherm,determinate,artificial,global,semelparous,male biased,No,polygyny,none,females larger,adults,Development time - control - 36 degrees,days,high values = slow,development,lab,25.087,26.05499286,1728,25.259,26.96697063,1729,NA,0,0,NA,"fullsib split design so each treatment and replicate contains fullsibs, so there is dependence on two levels, but still different inds so count as independent ",1,,1
116,M169,Hallsson and Bj_rklund 2012,,Callosobruchus maculatus,arthropod,ectotherm,determinate,artificial,global,semelparous,male biased,No,polygyny,none,females larger,adults,Development time - trend - 30 degrees,days,high values = slow,development,lab,26.25,26.05499286,1728,26.207,26.05499286,1729,NA,0,0,NA,"fullsib split design so each treatment and replicate contains fullsibs, so there is dependence on two levels, but still different inds so count as independent ",1,,1
117,M169,Hallsson and Bj_rklund 2012,,Callosobruchus maculatus,arthropod,ectotherm,determinate,artificial,global,semelparous,male biased,No,polygyny,none,females larger,adults,Development time - control - 30 degrees,days,high values = slow,development,lab,25.69,23.30845515,1728,25.992,24.22043293,1729,NA,0,0,NA,"fullsib split design so each treatment and replicate contains fullsibs, so there is dependence on two levels, but still different inds so count as independent ",1,,1
118,M35,Foerster et al. 2007,,Cervus elaphus,mammal,endotherm,determinate,temperate,cold,iteroparous,male biased,Yes,polygyny,Female,males larger,adults,Lifetime Reproductive Success,count,high values = fast,life history,wild,21.9,21.9,284,22.7,20.5,301,NA,0,1,NA,"Different measures of the same reproductive outputexcluded, beacuse theoretically no dimorphism can occur, ",0,", fitness trait without theoretical sexual dimorphism",0
119,M121,Uhl et al. 2004,,Pholcus phalangioides,arthropod,ectotherm,determinate,artificial,global,iteroparous,male biased,No,promiscuity,Female,males larger,adults,Development time - high food,days,high values = slow,development,semiwild,96.43,20.12,285,103.48,27.35,297,NA,0,0,NA,"Development time in two different environments, but in different inds, so independent. ",1,,1
120,M121,Uhl et al. 2004,,Pholcus phalangioides,arthropod,ectotherm,determinate,artificial,global,iteroparous,male biased,No,promiscuity,Female,males larger,adults,Development time - low food,days,high values = slow,development,semiwild,103.7,19.82,296,103.96,22.51,286,NA,0,0,NA,"Development time in two different environments, but in different inds, so independent. ",1,,1
121,M35,Foerster et al. 2007,,Cervus elaphus,mammal,endotherm,determinate,temperate,cold,iteroparous,male biased,Yes,polygyny,Female,males larger,adults,Yearly contribution to population growth (pti),offspring per year adjusted,high values = fast,life history,wild,1.8,16,2116,8,13,2852,NA,0,1,NA,"Different measures of the same reproductive outputexcluded, beacuse theoretically no dimorphism can occur, ",0,", fitness trait without theoretical sexual dimorphism",0
122,M201,Walling et al. 2008,,Nicrophorus vespilloides,arthropod,ectotherm,determinate,temperate,global,iteroparous,no sex bias,No,social monogamy,both,females larger,adults,Family size (number of offspring),count,high values = fast,life history,semiwild,26.5,10.86278049,225,26.8,10.63014581,256,NA,NA,NA,NA,"excluded, beacuse theoretically no dimorphism can occur, ",0,", fitness trait without theoretical sexual dimorphism",0
123,M135,Tarka et al.,,Acrocephalus arundinaceus,bird,endotherm,determinate,cold,global,iteroparous,no sex bias,Yes,polygyny,female,males larger,adults,lifetime fledglings,count,high values = fast,life history,wild,7.21,9.87,257,5.99,5.99,300,NA,0,0,NA, ,0,,1
124,M168,Goenaga et al. 2010,,Drosophila melanogaster,arthropod,ectotherm,determinate,Arid,global,iteroparous,unknown,No,promiscuity,none,females larger,adults,Starvation resistance - Lavalle,hours,high values = slow,physiology,semiwild,44.28,9.622660755,89,54.08,16.33416665,98,NA,0,0,NA, ,1,,1
125,M128,Zhang et al. 2000,,Sus scrofa domestica,mammal,endotherm,determinate,artificial,global,iteroparous,male biased,No,polygyny,Female,males larger,mixed,Days from 20 to 100 kg,days,high values = slow,development,domestic,113.9,9.6,4881,114,8.7,4799,NA,0,0,NA, ,1,,1
126,M168,Goenaga et al. 2010,,Drosophila melanogaster,arthropod,ectotherm,determinate,Arid,global,iteroparous,unknown,No,promiscuity,none,females larger,adults,Starvation resistance - San Blas,hours,high values = slow,physiology,semiwild,51.7,8.561051337,109,62.62,14.66475366,118,NA,0,0,NA, ,1,,1
127,M168,Goenaga et al. 2010,,Drosophila melanogaster,arthropod,ectotherm,determinate,Arid,global,iteroparous,unknown,No,promiscuity,none,females larger,adults,Starvation resistance - Chilecito,hours,high values = slow,physiology,semiwild,43.17,8.490365128,143,55.71,16.71195979,151,NA,0,0,NA, ,1,,1
128,M168,Goenaga et al. 2010,,Drosophila melanogaster,arthropod,ectotherm,determinate,Arid,global,iteroparous,unknown,No,promiscuity,none,females larger,adults,Starvation resistance - San Juan,hours,high values = slow,physiology,semiwild,50.21,8.482145955,107,65.12,12.17186921,114,NA,0,0,NA, ,1,,1
129,M168,Goenaga et al. 2010,,Drosophila melanogaster,arthropod,ectotherm,determinate,temperate,global,iteroparous,unknown,No,promiscuity,none,females larger,adults,Starvation resistance - GŸemes,hours,high values = slow,physiology,semiwild,48.04,7.853241369,94,61.48,13.76735269,104,NA,0,0,NA, ,1,,1
130,M168,Goenaga et al. 2010,,Drosophila melanogaster,arthropod,ectotherm,determinate,Arid,global,iteroparous,unknown,No,promiscuity,none,females larger,adults,Starvation resistance - Cachi,hours,high values = slow,physiology,semiwild,45.27,7.768088568,58,61.54,13.11147589,68,NA,0,0,NA, ,1,,1
131,M205,Boratynski et al. 2013,,Myodes glareolus,mammal,endotherm,determinate,cold,global,iteroparous,male biased,No,promiscuity,Female,No difference,adults,BMR,ml O2/h,high values = fast,physiology,semiwild,44.9,6.77,184,39.8,5.83,161,NA,0,0,NA, ,1,,1
132,M168,Goenaga et al. 2010,,Drosophila melanogaster,arthropod,ectotherm,determinate,Arid,global,iteroparous,unknown,No,promiscuity,none,females larger,adults,Starvation resistance - San Rafael,hours,high values = slow,physiology,semiwild,40.72,6.384982381,130,56.66,11.08222902,142,NA,0,0,NA, ,1,,1
133,M168,Goenaga et al. 2010,,Drosophila melanogaster,arthropod,ectotherm,determinate,temperate,global,iteroparous,unknown,No,promiscuity,none,females larger,adults,Starvation resistance - Barreal,hours,high values = slow,physiology,semiwild,49.42,6.297428046,136,58.58,11.19542764,136,NA,0,0,NA, ,1,,1
134,M172,Williams et al. 2012,,Drosophila melanogaster,arthropod,ectotherm,determinate,temperate,global,iteroparous,unknown,No,promiscuity,none,females larger,adults,Heat resistance,minutes,high values = slow,physiology,semiwild,35.75,6.123632582,919,26.135,7.366548106,919,NA,0,0,NA, ,1,,1
135,M168,Goenaga et al. 2010,,Drosophila melanogaster,arthropod,ectotherm,determinate,Arid,global,iteroparous,unknown,No,promiscuity,none,females larger,adults,Starvation resistance - J‡chal,hours,high values = slow,physiology,semiwild,53.67,6.029925373,101,65.75,5.87332955,110,NA,0,0,NA, ,1,,1
136,M165,Gay et al 2011,,Callosobruchus maculatus,arthropod,ectotherm,determinate,artificial,global,semelparous,male biased,No,polygyny,none,females larger,adults,Longevity,days,high values = slow,life history,lab,18.3,5.458937626,745,11.7,2.905167809,844,NA,0,0,NA, ,1,,1
137,M219,Lewis et al. 2011,,Plodia interpunctella,arthropod,ectotherm,determinate,artificial,global,semelparous,unknown,No,promiscuity,none,females larger,mixed,Development time,days,high values = slow,development,lab,27.88,4.819958506,120,26.44,2.96863605,153,NA,0,0,NA, ,1,,1
138,M189,Forstmeier et al. 2009,,Taeniopygia guttata,bird,endotherm,determinate,artificial,Arid,iteroparous,no sex bias,No,social monogamy,both,No difference,adults,Amplitude,db,high values = fast,behavior,lab,55.67,3.38,189,52.72,4.01,190,?,0,1,1,"how does this behavior work on the POLS-scale?, ",0,", not a POLS trait",0
139,M213,Carriere 1994,,Choristoneura rosaceana,arthropod,ectotherm,determinate,cold,cold,iteroparous,no sex bias,No,promiscuity,none,females larger,unknown,Development time,days,high values = slow,development,semiwild,21.8,2.6,197,24.1,2.6,162,NA,0,0,NA, ,1,,1
140,M41,Hanrahan and Eisen 1973,,Mus musculus,mammal,endotherm,determinate,artificial,global,iteroparous,no sex bias,No,polygyny,Female,males larger,mixed,Body weight gain from week 3 to 6,g,high values = fast,development,lab,17.89,2.533771892,2568,13.02,2.530810147,2562,NA,0,0,NA, ,1,,1
141,M178,Bubliy et al. 2012,,Drosophila melanogaster,arthropod,ectotherm,determinate,temperate,global,iteroparous,unknown,No,promiscuity,none,females larger,adults,Heat shock resistance - humid - parents,min,high values = slow,physiology,lab,84.84,2.35,128,69.06,1.55,130,NA,0,0,NA,"same trait in different environments, but parents not necessaryily related and different inds used ",1,,1
142,M219,Lewis et al. 2011,,Plodia interpunctella,arthropod,ectotherm,determinate,artificial,global,semelparous,unknown,No,promiscuity,none,females larger,mixed,Longevity,days,high values = slow,life history,lab,8.26,1.752712184,120,5.83,1.484318025,153,NA,0,0,NA, ,1,,1
143,M190,House et al. 2008,,Nicrophorus vespilloides,arthropod,ectotherm,determinate,temperate,global,iteroparous,no sex bias,No,social monogamy,both,females larger,adults,Mating frequency,count,high values = fast,life history,semiwild,3.68,1.688727331,582,3.65,1.473363499,603,NA,0,1,NA,"how does this behavior work on the POLS-scale? Decided it is LH trait, ",1,,1
144,M140,Calsbeek et al. 2015,,Anolis sagrei,reptile,ectotherm,determinate,Tropical,Tropical,iteroparous,no sex bias,No,promiscuity,none,males larger,adults,Reproductive success of offspring that survived to maturity,count,high values = fast,life history,wild,3.19,1.62,290,3.08,1.82,291,NA,0,0,NA, ,0,,0
145,M170,Hallsson and Bj_rklund 2011,,Callosobruchus maculatus,arthropod,ectotherm,determinate,artificial,global,semelparous,male biased,No,polygyny,none,females larger,adults,Developmental time,days,high values = slow,development,lab,24.67,1.43,1643,24.52,1.4,1265,NA,0,0,NA, ,1,,1
146,M9,Blanckenhorn 2002,,Scathophaga stercoraria,arthropod,ectotherm,determinate,cold,cold,iteroparous,unknown,No,promiscuity,none,males larger,adults,Development time,days,high values = slow,development,semiwild,22.9,1.3,372.28,21.5,1.4,348.66,NA,0,0,NA, ,1,,1
147,M14,Brommer et al. 2007,,Ficedula albicollis,bird,endotherm,determinate,cold,global,iteroparous,female biased,Yes,promiscuity,both,females larger,adults,Lifetime reproductive success,count,high values = fast,life history,wild,0.92,1.23,3109,0.77,1.16,3972,NA,0,0,NA, ,0,,0
148,M80,Muhlhauser and Blanckenhorn 2004,,Sepsis cynipsea,arthropod,ectotherm,determinate,cold,global,semelparous,unknown,No,polygyny,none,females larger,adults,Life span,days,high values = slow,life history,semiwild,50.57,1.18,97,41.5,0.85,114,NA,0,0,NA, ,1,,1
149,M178,Bubliy et al. 2012,,Drosophila melanogaster,arthropod,ectotherm,determinate,temperate,global,iteroparous,unknown,No,promiscuity,none,females larger,adults,Heat shock resistance - dry (stress) - parents,min,high values = slow,physiology,lab,48.26,0.86,125,53.06,0.79,125,NA,0,0,NA,"same trait in different environments, but parents not necessaryily related and different inds used ",1,,1
150,M22,Coltman et al. 2001,,Ovis aries,mammal,endotherm,determinate,temperate,global,iteroparous,male biased,No,polygyny,Female,males larger,adults,Summer fecal egg count ,Loge(Count),high values = fast,physiology,wild,1.63,0.82,493,0.92,0.83,576,NA,0,0,NA, ,1,,1
151,M92,Qvarnstr_m et al. 2006 ,,Ficedula albicollis,bird,endotherm,determinate,cold,global,iteroparous,female biased,Yes,social monogamy,both,females larger,adults,Annual fitness,(survival + number recruits)*0.5,high values = fast,life history,wild,0.65,0.64,3019,0.61,0.64,2934,NA,0,0,NA,"excluded, beacuse theoretically no dimorphism can occur, ",0,", fitness trait without theoretical sexual dimorphism",0
152,M84,Parker and Garant 2005,,Gallus gallus,bird,endotherm,determinate,artificial,Tropical,iteroparous,unknown,No,polygyny,Female,males larger,mixed,Steepest slope of body mass growth,g/day,high values = fast,development,lab,4.3,0.572712843,205,3.9,0.919782583,235,NA,0,1,NA, ,1,,1
153,M84,Parker and Garant 2005,,Gallus gallus,bird,endotherm,determinate,artificial,Tropical,iteroparous,unknown,No,polygyny,Female,males larger,mixed,Age (weeks) of peak tarsus length growth rate,week,high values = slow,development,lab,7.7,0.572712843,205,6.9,0.613188389,235,NA,0,1,NA, ,1,,1
154,M141,Fuchikawa and Okada 2013,,Gnatocerus cornutus,arthropod,ectotherm,determinate,temperate,global,iteroparous,unknown,No,promiscuity,none,females larger,adults,Locomotor activity,m/10min,high values = fast,behavior,lab,1.339,0.294346734,15,2.844,0.398917285,15,activity,0,0,NA, ,1,,1
155,M202,Yoshida et al. 2015,,Oreochromis niloticus,fish,ectotherm,indeterminate,Tropical,Arid,iteroparous,unknown,No,polygyny,Female,males larger,adults,Daily weight gain 4,g,high values = fast,development,domestic,1.04,0.27,973,0.76,0.2,747,NA,1,1,NA,same individuals measured at different stages of life ,1,,1
156,M202,Yoshida et al. 2015,,Oreochromis niloticus,fish,ectotherm,indeterminate,Tropical,Arid,iteroparous,unknown,No,polygyny,Female,males larger,adults,Daily weight gain 3,g,high values = fast,development,domestic,0.83,0.22,973,0.62,0.17,747,NA,1,1,NA,same individuals measured at different stages of life ,1,,1
157,M197,Saintilan et al. 2012,,Sus scrofa,mammal,endotherm,determinate,artificial,global,iteroparous,male biased,No,polygyny,Female,males larger,unknown,FCR feed conversion ratio,kg feed/kg gain,high values = slow,physiology,domestic,2.43,0.19,1121,2.66,0.18,508,NA,0,1,NA, ,1,,1
158,M202,Yoshida et al. 2015,,Oreochromis niloticus,fish,ectotherm,indeterminate,Tropical,Arid,iteroparous,unknown,No,polygyny,Female,males larger,adults,Daily weight gain 2,g,high values = fast,development,domestic,0.66,0.18,973,0.52,0.14,747,NA,1,1,NA,same individuals measured at different stages of life ,1,,1
159,M29,Crump et al. 1997,,Sus scrofa domestica,mammal,endotherm,determinate,artificial,global,iteroparous,male biased,No,polygyny,Female,males larger,juvenile,Average daily food intake Env 3,kg,high values = fast,physiology,domestic,2.14,0.172046505,621,1.93,0.172046505,1654,NA,0,1,NA, ,1,,1
160,M29,Crump et al. 1997,,Sus scrofa domestica,mammal,endotherm,determinate,artificial,global,iteroparous,male biased,No,polygyny,Female,males larger,juvenile,Food conversion ratio Env 3,ratio,high values = slow,physiology,domestic,2.3,0.172046505,621,2.55,0.172046505,1654,NA,0,1,NA, ,1,,1
161,M84,Parker and Garant 2005,,Gallus gallus,bird,endotherm,determinate,artificial,Tropical,iteroparous,unknown,No,polygyny,Female,males larger,mixed,Steepest slope of tarsus length growth,mm/day,high values = fast,development,lab,0.5,0.143178211,205,0.5,0.153297097,235,NA,0,1,NA, ,1,,1
162,M202,Yoshida et al. 2015,,Oreochromis niloticus,fish,ectotherm,indeterminate,Tropical,Arid,iteroparous,unknown,No,polygyny,Female,males larger,adults,Daily weight gain 1,g,high values = fast,development,domestic,0.5,0.14,973,0.42,0.12,747,NA,1,1,NA,same individuals measured at different stages of life ,1,,1
163,M29,Crump et al. 1997,,Sus scrofa domestica,mammal,endotherm,determinate,artificial,global,iteroparous,male biased,No,polygyny,Female,males larger,juvenile,Average daily gain Env 3,kg,high values = fast,development,domestic,0.94,0.102567051,621,0.76,0.102567051,1654,NA,0,1,NA, ,1,,1
164,M157,Haugen Aalberg et al. 2012,,Pararge aegeria,arthropod,ectotherm,determinate,cold,global,sexspecific,female biased,No,polygyny,none,females larger,juvenile,Larval growth rate - direct -Central pop,log 10 (pupal weight) / larval developmental time,high values = fast,development,semiwild,0.069006556,0.01,NA,0.06770032,0.010488088,NA,NA,0,0,NA, ,0,"no sample sizes given, ",0
165,M157,Haugen Aalberg et al. 2012,,Pararge aegeria,arthropod,ectotherm,determinate,cold,global,sexspecific,female biased,No,polygyny,none,females larger,juvenile,Larval growth rate - diapause - Central pop,log 10 (pupal weight) / larval developmental time,high values = fast,development,semiwild,0.053311399,0.007348469,NA,0.056360186,0.007348469,NA,NA,0,0,NA, ,0,"no sample sizes given, ",0
166,M157,Haugen Aalberg et al. 2012,,Pararge aegeria,arthropod,ectotherm,determinate,cold,global,sexspecific,female biased,No,polygyny,none,females larger,juvenile,Larval growth rate - direct - Southern pop,log 10 (pupal weight) / larval developmental time,high values = fast,development,semiwild,0.078376381,0.006557439,NA,0.074161985,0.008774964,NA,NA,0,0,NA, ,0,"no sample sizes given, ",0
167,M157,Haugen Aalberg et al. 2012,,Pararge aegeria,arthropod,ectotherm,determinate,cold,global,sexspecific,female biased,No,polygyny,none,females larger,juvenile,Larval growth rate - diapause - Southern pop,log 10 (pupal weight) / larval developmental time,high values = fast,development,semiwild,0.045643546,0.005,NA,0.046409548,0.005291503,NA,NA,0,0,NA, ,0,"no sample sizes given, ",0
168,M155,Saastamoinen et al. 2012,,Bicyclus anynana,arthropod,ectotherm,determinate,artificial,Tropical,iteroparous,unknown,No,promiscuity,none,females larger,adults,Flight activity,m/h,high values = fast,behavior,lab,65,86.08292514,147,46.5,126,144,activity,0,0,NA,used only generation 1 in mean and sd calculations ,1,,1
169,M106,Rolff et al. 2005,,Tenebrio molitor,arthropod,ectotherm,determinate,artificial,global,semelparous,unknown,No,promiscuity,none,No difference,adults,hemocyte count,count,high values = slow,physiology,semiwild,115.28,132.0226174,435,199.6,246.5256457,435,NA,0,1,NA, ,1,,1
170,M106,Rolff et al. 2005,,Tenebrio molitor,arthropod,ectotherm,determinate,artificial,global,semelparous,unknown,No,promiscuity,none,No difference,adults,phenoloxidase activity,maximum conversion of substrate per unit time,high values = slow,physiology,semiwild,272.33,249.2370107,435,247.94,203.7695058,435,NA,0,1,NA, ,1,,1
171,M194,Svensson et al. 2009,,Uta stansburiana,reptile,ectotherm,determinate,temperate,Arid,iteroparous,male biased,No,promiscuity,none,males larger,adults,Antibody responsiveness,units/ml,high values = slow,physiology,wild,9.991368,20.19899394,195,9.1121,20.19899159,285,NA,0,0,NA, ,1,,1
172,A195,"Ellis, VA; Merrill, L; Wingfield, JC; O'Loghlen, AL; Rothstein, SI",10.1525/auk.2012.11215,Molothrus ater,bird,,,,,iteroparous,,,promiscuity,none,,,Early molt score,sum of scores,high values = fast,physiology,semiwild,12.7,8.57,14,12.3,8.24,12,NA,0,1,NA,include ,1,,1
173,A195,"Ellis, VA; Merrill, L; Wingfield, JC; O'Loghlen, AL; Rothstein, SI",10.1525/auk.2012.11215,Molothrus ater,bird,,,,,,,,,,,,Late molt score,sum of scores,,physiology,,65,16.52,17,53.7,6.96,10,NA,,,,"exclude, males and females measured at different time points",0,sexes treated differently,0
174,A195,"Ellis, VA; Merrill, L; Wingfield, JC; O'Loghlen, AL; Rothstein, SI",10.1525/auk.2012.11215,Molothrus ater,bird,,,,,,,,,,,,Bactericidal capacity premolt,proportion,,physiology,,0.786,0.283,10,0.622,0.248,9,NA,,,,"exclude, proportion scale",0,scale issue,0
175,A195,"Ellis, VA; Merrill, L; Wingfield, JC; O'Loghlen, AL; Rothstein, SI",10.1525/auk.2012.11215,Molothrus ater,bird,,,,,,,,,,,,Bactericidal capacity early molt,,,physiology,,0.232,0.283,16,0.08,0.126,15,NA,,,,"exclude, proportion scale",0,scale issue,0
176,A195,"Ellis, VA; Merrill, L; Wingfield, JC; O'Loghlen, AL; Rothstein, SI",10.1525/auk.2012.11215,Molothrus ater,bird,,,,,,,,,,,,Bactericidal capacity late molt,,,physiology,,0.111,0.185,12,0.229,0.234,9,NA,,,,"exclude, proportion scale",0,scale issue,0
177,A195,"Ellis, VA; Merrill, L; Wingfield, JC; O'Loghlen, AL; Rothstein, SI",10.1525/auk.2012.11215,Molothrus ater,bird,,,,,,,,,,,,Bactericidal capacity first postmolt molt,,,physiology,,0.072,0.276,16,0.073,0.132,15,NA,,,,"exclude, proportion scale",0,scale issue,0
178,A195,"Ellis, VA; Merrill, L; Wingfield, JC; O'Loghlen, AL; Rothstein, SI",10.1525/auk.2012.11215,Molothrus ater,bird,,,,,,,,,,,,Bactericidal capacity second postmolt molt,,,physiology,,0.48,0.298,12,0.152,0.279,12,NA,,,,"exclude, proportion scale",0,scale issue,0
179,A195,"Ellis, VA; Merrill, L; Wingfield, JC; O'Loghlen, AL; Rothstein, SI",10.1525/auk.2012.11215,Molothrus ater,bird,,,,,iteroparous,,,promiscuity,none,,,Hematocrit value premolt,%,high values = slow,physiology,semiwild,52.44,2.735,12,49.47,1.593,11,NA,1,1,NA,scale is unclear ,1,,0
180,A195,"Ellis, VA; Merrill, L; Wingfield, JC; O'Loghlen, AL; Rothstein, SI",10.1525/auk.2012.11215,Molothrus ater,bird,,,,,iteroparous,,,promiscuity,none,,,Hematocrit value early molt,%,high values = slow,physiology,semiwild,46.16,2.8,17,46.05,2.076,12,NA,1,1,NA,scale is unclear ,1,,0
181,A195,"Ellis, VA; Merrill, L; Wingfield, JC; O'Loghlen, AL; Rothstein, SI",10.1525/auk.2012.11215,Molothrus ater,bird,,,,,,,,,,,,Hematocrit value late molt,%,,physiology,,46.12,3.079,17,44.26,1.497,10,NA,,,,"scale is unclear, males and females measured at different time points",0,sexes treated differently,0
182,A195,"Ellis, VA; Merrill, L; Wingfield, JC; O'Loghlen, AL; Rothstein, SI",10.1525/auk.2012.11215,Molothrus ater,bird,,,,,iteroparous,,,promiscuity,none,,,Hematocrit value postmolt 1,%,high values = slow,physiology,semiwild,51.97,3.803,16,49.01,2.528,15,NA,1,1,NA,scale is unclear ,1,,0
183,A195,"Ellis, VA; Merrill, L; Wingfield, JC; O'Loghlen, AL; Rothstein, SI",10.1525/auk.2012.11215,Molothrus ater,bird,,,,,iteroparous,,,promiscuity,none,,,Hematocrit value postmolt 2,%,high values = slow,physiology,semiwild,51.49,3.239,12,49.28,1.861,12,NA,1,1,NA,scale is unclear ,1,,0
184,A195,"Ellis, VA; Merrill, L; Wingfield, JC; O'Loghlen, AL; Rothstein, SI",10.1525/auk.2012.11215,Molothrus ater,bird,,,,,iteroparous,,,promiscuity,none,,,Corticosterone premolt,ng/ml,high values = slow,physiology,semiwild,5.548,2.595,11,2.61,2.147,12,NA,2,1,NA,include ,1,,1
185,A195,"Ellis, VA; Merrill, L; Wingfield, JC; O'Loghlen, AL; Rothstein, SI",10.1525/auk.2012.11215,Molothrus ater,bird,,,,,iteroparous,,,promiscuity,none,,,Corticosterone early molt,ng/ml,high values = slow,physiology,semiwild,0.517,0.262,17,0.745,0.565,13,NA,2,1,NA,include ,1,,1
